term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2
18871,1,the,26880,0,1,the,the,the,DT,1
12845,2,of,17206,0,1,of,of,of,IN,2
764,3,and,16460,0,1,and,and,and,CC,3
19145,4,to,16159,0,1,to,to,to,TO,4
65,5,a,11162,0,1,a,a,a,DT,5
9586,6,in,8777,0,1,in,in,in,IN,6
20868,7,was,7622,0,1,wa,was,was,VBD,7
9313,8,i,7486,0,1,i,i,i,PRP,8
0,9,,7301,0,0,,,,:,9
18864,10,that,7181,0,1,that,that,that,IN,10
8904,11,her,6642,0,1,her,her,her,PRP$,11
8783,12,he,6600,0,1,he,he,he,PRP,12
9009,13,his,5663,0,1,hi,his,his,PRP$,13
8596,14,had,5290,0,1,had,had,had,VBD,14
16857,15,she,5189,0,1,she,she,she,PRP,15
21221,16,with,5031,0,1,with,with,with,IN,16
10326,17,it,4913,0,1,it,it,it,PRP,17
21466,18,you,4409,0,1,you,you,you,PRP,18
1126,19,as,4179,0,1,as,as,as,IN,19
12645,20,not,4022,0,1,not,not,not,RB,20
7631,21,for,3924,0,1,for,for,for,IN,21
2509,22,but,3554,0,1,but,but,but,CC,22
12910,23,on,3488,0,1,on,on,on,IN,23
1244,24,at,3242,0,1,at,at,at,IN,24
1632,25,be,3239,0,1,be,be,be,VB,25
21046,26,which,2935,0,1,which,which,which,WDT,26
16273,27,said,2818,0,0,said,said,said,VBD,27
10305,28,is,2743,0,1,is,is,is,VBZ,28
2531,29,by,2664,0,1,by,by,by,IN,29
8984,30,him,2641,0,1,him,him,him,PRP,30
12343,31,my,2632,0,1,my,my,my,PRP$,31
8764,32,have,2458,0,1,have,have,hav,VB,32
21003,33,were,2406,0,1,were,were,wer,VBD,33
7874,34,from,2275,0,1,from,from,from,IN,34
18959,35,this,2138,0,1,thi,this,thi,DT,35
18919,36,they,2030,0,1,they,they,they,PRP,36
11645,37,me,2028,0,1,me,me,me,PRP,37
12258,38,mr,2006,0,0,mr,mr,mr,NNP,38
21347,39,would,1993,0,0,would,would,would,MD,39
587,40,all,1881,0,1,all,all,al,DT,40
12914,41,one,1788,0,0,one,one,on,CD,41
741,42,an,1737,0,1,an,an,an,DT,42
9352,43,if,1700,0,1,if,if,if,IN,43
20920,44,we,1695,0,1,we,we,we,PRP,44
12579,45,no,1655,0,1,no,no,no,DT,45
21016,46,what,1630,0,1,what,what,what,WP,46
1703,47,been,1564,0,1,been,been,been,VBN,47
18898,48,there,1479,0,1,there,there,ther,EX,48
21094,49,who,1472,0,1,who,who,who,WP,49
21032,50,when,1468,0,1,when,when,when,WRB,50
21149,51,will,1461,0,1,will,will,wil,MD,51
17385,52,so,1428,0,1,so,so,so,RB,52
18875,53,their,1406,0,1,their,their,their,PRP$,53
12973,54,or,1390,0,1,or,or,or,CC,54
18877,55,them,1382,0,1,them,them,them,PRP,55
12150,56,more,1332,0,1,more,more,mor,RBR,56
4181,57,could,1311,0,0,could,could,could,MD,57
12682,58,now,1226,0,1,now,now,now,RB,58
1026,59,are,1189,0,1,are,are,ar,VBP,59
20286,60,up,1151,0,1,up,up,up,RP,60
11035,61,like,1132,0,0,like,like,lik,IN,61
105,62,about,1132,0,1,about,about,about,IN,61
13053,63,our,1118,0,1,our,our,our,PRP$,62
18855,64,than,1103,0,1,than,than,than,IN,63
10337,65,its,1037,0,1,it,it,it,PRP$,64
5620,66,do,1028,0,1,do,do,do,VB,65
16960,67,should,1024,0,1,should,should,should,MD,66
17462,68,some,1016,0,1,some,some,som,DT,67
